Date_reported,Anguilla,Argentina,Aruba,Bahamas,Barbados,Belize,Bermuda,Bonaire,Brazil,Canada,Chile,Colombia,Cuba,Curaçao,Dominica,Ecuador,Grenada,Guadeloupe,Guatemala,Guyana,Haiti,Honduras,Jamaica,Martinique,Mexico,Montserrat,Nicaragua,Panama,Paraguay,Peru,Saba,Suriname,Uruguay
2020-08-07,0,7147,39,36,0,19,0,0,57152,395,1948,10735,49,2,0,1671,0,7,830,12,12,799,8,7,6139,0,0,807,208,7734,0,69,9
2020-08-08,0,7513,92,10,0,28,0,0,53139,374,2154,11996,54,0,0,1432,0,0,931,29,38,657,30,0,6590,0,0,1187,315,7785,0,46,9
2020-08-09,0,7482,0,69,5,32,1,0,50230,424,2198,9486,59,0,0,1603,0,11,919,0,17,880,29,60,6717,0,0,1142,133,8466,0,107,7
2020-08-10,0,6134,0,48,4,7,0,0,49970,236,2033,9674,65,0,0,887,0,0,416,16,12,338,16,0,6495,0,0,1091,197,7137,0,103,10
2020-08-11,0,4688,300,20,0,1,0,0,23010,230,1988,10611,93,1,0,242,0,0,382,14,23,481,20,0,4376,0,0,841,202,7012,0,85,18
2020-08-12,0,7369,67,47,1,23,1,0,22048,681,1572,10142,47,0,0,862,0,27,979,0,15,418,8,0,5558,0,147,902,327,5109,0,98,11
2020-08-13,0,7043,87,44,0,33,0,0,52160,289,1552,12830,35,0,0,1547,0,0,1123,34,94,531,16,0,6686,0,0,1070,285,6547,0,70,21
2020-08-14,0,7663,81,47,1,86,0,0,55155,423,1866,12066,46,0,0,1233,0,50,1195,21,38,254,18,0,5858,0,0,913,499,8875,0,94,8
2020-08-15,0,7498,96,53,0,60,0,0,60091,390,2077,11286,55,0,0,1066,0,79,1144,8,29,385,6,0,7371,0,0,1069,371,9441,0,108,16
2020-08-16,0,6365,0,30,4,32,0,0,50644,418,1791,11306,63,0,0,1279,0,0,885,18,21,425,11,0,5618,0,0,956,633,8300,0,77,12
2020-08-17,0,6663,0,133,3,64,3,0,41576,237,2044,11578,24,0,0,854,0,0,249,25,48,512,24,0,6345,0,0,1263,359,9507,0,123,13
2020-08-18,0,5469,208,63,1,0,0,0,23101,198,1556,11643,48,1,0,209,0,64,382,35,18,523,7,14,4448,0,0,1275,410,10143,0,55,6
2020-08-19,0,4557,19,14,0,23,4,0,19373,785,1353,8328,44,2,0,1190,0,0,903,0,24,493,16,0,3571,0,127,603,344,5547,0,61,17
2020-08-20,0,6840,84,95,3,78,0,0,47784,282,1182,12462,74,0,0,1534,0,0,1034,28,28,675,17,0,5506,0,0,247,471,7828,0,139,28
2020-08-21,0,6693,91,107,0,0,0,0,49298,336,1812,13056,83,0,0,1033,0,0,1102,39,48,626,46,0,5792,0,0,964,527,9099,0,79,8
2020-08-22,0,8225,91,79,2,52,0,0,45323,383,1920,11541,17,2,1,973,0,0,958,70,19,523,98,0,6775,0,0,101,684,8639,0,71,13
2020-08-23,0,8159,0,93,0,43,1,0,30355,499,1939,8419,35,0,0,608,0,261,915,35,34,562,56,114,5928,0,0,537,719,9008,0,94,10
2020-08-24,0,7759,0,62,4,20,0,0,50032,257,1957,10965,65,0,0,680,0,0,332,44,32,602,67,0,6482,0,0,1088,438,9169,0,109,5
2020-08-25,0,5352,181,0,0,18,0,0,23421,267,1903,8044,35,2,1,520,0,0,345,30,28,528,116,0,3948,0,0,1420,259,9090,0,38,6
2020-08-26,0,8713,60,33,0,27,1,0,17078,751,1417,10549,27,8,0,741,0,0,1118,74,2,968,83,0,3541,0,119,585,369,6112,0,25,6
2020-08-27,0,8771,42,15,3,17,0,0,47134,322,1380,10432,15,2,0,1519,0,164,1063,31,10,398,120,132,4916,0,0,896,626,6944,0,66,3
2020-08-28,0,10550,90,110,1,30,0,1,47161,448,1737,10142,47,4,0,670,0,0,1142,33,29,772,72,0,5267,0,0,701,644,5996,0,26,7
2020-08-29,0,10104,88,97,0,58,0,0,44235,431,1870,9752,60,2,0,922,0,0,1065,47,10,1020,66,0,6026,0,0,900,418,8619,0,69,8
2020-08-30,0,11717,0,37,1,52,0,0,43412,510,2037,8498,59,0,0,765,0,0,758,40,13,1141,141,0,5824,0,0,642,584,7964,0,55,5
2020-08-31,0,9230,0,78,7,94,1,1,41350,315,1965,9394,48,0,0,742,0,210,233,4,35,835,102,0,5974,0,0,713,600,9474,0,106,14
