Fecha	Bolivia	
1-ene	1485	
2-ene	1752	
3-ene	1017	
4-ene	914	
5-ene	606	
6-ene	1010	
7-ene	1597	
8-ene	1713	
9-ene	1910	
10-ene	2263	
11-ene	1644	
12-ene	1098	
13-ene	1392	
14-ene	1473	
15-ene	2057	
16-ene	2198	
17-ene	2573	
18-ene	2091	
19-ene	1503	
20-ene	1550	
21-ene	2357	
22-ene	2655	
23-ene	2648	
24-ene	1864	
25-ene	1732	
26-ene	1048	
27-ene	1781	
28-ene	2390	
29-ene	2866	
30-ene	2652	
31-ene	2666	
