Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Burundi;BDI;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;609.3716475;648.3308671;652.5122225;647.4770436;632.4249539;559.8362994;524.6810684;525.8317273;546.7198398;535.9623371;532.4259199;542.0301902;559.1123373;545.7755393;566.0916315;567.7007004;595.2055657;609.5935955;625.2437396;620.8967338;630.358193;646.1031275;651.9523273;696.4970002;728.8700603;797.0501141;766.5872206;750.7876163;758.1376112;760.4533989;750.3130621;774.5428909;
Bélgica;BEL;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18688.64674;19601.8239;20272.98859;20473.78684;21519.33807;22447.4638;22744.69966;23732.22107;24369.48672;25440.84119;27789.94355;28793.61105;30282.28865;30934.4414;32063.26079;33177.89095;35256.92838;36795.84715;37883.33194;37749.90919;39838.04051;40942.37271;42290.76205;43671.11959;44929.68559;46200.90445;48597.39998;50442.27054;52535.23222;55753.84945;54202.52007;59387.88027;
Benin;BEN;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1220.214582;1275.135741;1302.24048;1349.490345;1354.590804;1436.737626;1487.598078;1554.145493;1584.965406;1642.173165;1724.54671;1802.324598;1858.766765;1902.502923;1979.292899;2011.396677;2090.284255;2210.79271;2294.869878;2294.602793;2302.687791;2350.356452;2427.432659;2590.925045;2745.858612;2792.609645;2901.264671;2933.837384;3112.797453;3289.655169;3360.987416;3649.04065;
Burkina Faso;BFA;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;568.6301463;625.1781954;625.3228272;646.0470734;651.8797993;685.7886884;755.7081414;796.5891492;840.9844308;889.501251;899.5848205;951.314407;977.6685185;1041.898563;1083.249313;1176.357297;1248.873042;1295.467117;1356.372196;1364.895645;1454.578747;1536.808944;1568.066859;1629.317836;1637.928051;1657.916107;1833.433053;1978.155012;2100.222262;2199.116626;2208.398229;2394.705365;
Bangladesh;BGD;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;979.9480034;1028.28859;1088.740137;1144.970833;1191.835185;1255.48763;1313.073938;1370.959718;1431.061897;1490.19028;1574.33157;1659.711356;1717.970062;1803.138153;1916.452038;2074.011585;2253.209817;2451.542213;2625.406359;2751.217878;2906.05192;3119.929973;3493.922821;3734.725651;3997.286701;4216.719739;4558.563895;4830.776083;5246.923588;5697.949218;5897.588948;6493.809393;
Bulgaria;BGR;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7551.154174;7218.367897;6919.868893;7034.928455;7340.666502;7743.443229;6848.9937;5750.511715;6177.940847;5807.791822;6422.832771;6960.083304;7786.448422;8417.38546;9201.565675;10291.42387;11406.48595;12820.80999;14346.89554;14181.94966;14956.35731;15747.0796;16327.85847;16647.00987;17616.95407;18391.89681;20074.26479;21469.97089;23016.0668;25170.216;25296.17616;28113.05118;
Bahrein;BHR;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25731.16492;28594.09183;30129.96237;33643.63046;33149.57425;34045.39428;34962.95671;35548.65614;36559.27645;37570.91678;39360.43209;40186.94531;41161.56258;42900.81335;44006.71276;44780.11567;45651.59194;47380.16645;48078.84387;46708.73586;47929.44346;49960.26787;53778.48867;53672.10422;52073.98462;45900.70303;45281.30192;48929.44701;50106.7864;51869.45545;50468.2538;54256.77143;
Bahamas;BHS;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20326.62822;19742.92861;19012.97367;19104.10623;19727.16201;20632.74667;21511.63371;22992.22674;21835.90158;24466.49957;25678.76727;26569.56727;27350.38738;27172.37936;27770.78089;29212.61846;30446.48288;31278.05935;30697.0632;29180.51581;29566.57982;29990.16431;30658.40063;30328.94448;31761.27531;32260.82696;32341.20981;34357.27066;35564.95145;36645.82112;28119.24723;33188.73247;
Bosnia y Herzegovina;BIH;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;943.2494737;1166.999433;2155.164607;2844.360969;3270.700345;3601.9815;4127.638087;4290.625762;4653.131647;4911.659964;5405.608803;5959.024831;6878.345574;7696.151728;8595.825651;8698.947153;9089.136145;9758.0219;10109.40069;10788.26808;11148.38783;11687.12226;12716.4099;13400.04111;14584.2302;15898.34818;15644.34166;17492.93011;
Belarús;BLR;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5226.139654;5335.578804;4922.457216;4645.893574;4194.881094;3849.897233;4043.749905;4601.503085;5066.942837;5337.01584;5801.75813;6244.747744;6704.592279;7369.845906;8491.894839;9647.121181;11006.45591;12332.50292;13898.99968;14050.57156;15361.83171;16563.20141;18105.28672;18994.19019;19008.06102;18095.66518;17785.9432;18356.10077;19428.00746;20092.88037;20278.47395;21698.57409;
