departamento,Provincia,Municipio,ciudad_comunidad,techo_teja
,Oropeza,Sucre,JUCHUY LLINFI,25
,Oropeza,Sucre,TAMBO KASA,12
,Oropeza,Sucre,ALDANA,38
,Oropeza,Sucre,ESMERALDA,7
,Oropeza,Sucre,HUATA,13
,Oropeza,Sucre,ALTO KORA KORA,22
,Oropeza,Sucre,KHOCHIS,15
,Oropeza,Sucre,MOLLE K`ASA,11
,Oropeza,Sucre,THAKOS,35
,Oropeza,Sucre,AZARI BAJA,23
,Oropeza,Sucre,LECHUGUILLAS,10
,Oropeza,Sucre,MOLLE MAYU,3
,Oropeza,Sucre,QARA HUASI,5
,Oropeza,Sucre,DURAZNILLO,18
,Oropeza,Sucre,ESPERANZA,40
,Oropeza,Sucre,CHAUPI LLIMFI VILLA MARIA,4
,Oropeza,Sucre,SAN JUAN  DE CACHIMAYO,14
,Oropeza,Sucre,PUNILLA,7
,Oropeza,Yotala,ACEITUNO,1
,Oropeza,Yotala,CANTO ÑUJCHU,53
,Oropeza,Yotala,CABEZAS,47
,Oropeza,Yotala,CAMPANARIO,59
,Oropeza,Yotala,JATUN ERA,7
,Oropeza,Yotala,PATA CACHIMAYU,14
,Oropeza,Yotala,SIGUAYO,9
,Oropeza,Yotala,URA CACHIMAYU,20
,Oropeza,Yotala,UÑALA,42
,Oropeza,Yotala,VILLA ROSARIO,19
,Oropeza,Yotala,YOTALILLA,68
,Oropeza,Yotala,CORTIJO,29
,Oropeza,Yotala,MOLLE MOLLE,23
,Oropeza,Yotala,MOSOJ LLAJTA,84
,Oropeza,Yotala,PERAS PAMPA,19
,Oropeza,Yotala,SALANCACHI,33
,Oropeza,Yotala,SAN ISIDRO DE ANFAYA,118
,Oropeza,Yotala,TASAPAMPA,26
,Oropeza,Yotala,TOTACOA,33
,Oropeza,Yotala,VILLA EL CARMEN,49
,Oropeza,Yotala,VILLA SANTA ROSA,35
,Oropeza,Yotala,VILLA VICTORIA,13
,Oropeza,Yotala,WASA ÑUJCHU,18
,Oropeza,Yotala,YOTALA,321
,Oropeza,Yotala,CHILLPA ÑUCCHU,23
,Oropeza,Yotala,BAJO CAMPANARIO,11
,Oropeza,Yotala,CACHIMAYU,16
,Oropeza,Yotala,TIRKIPATA,15
,Oropeza,Yotala,TINTEROS MOLLE MAYU,34
,Oropeza,Yotala,CERVANTES YAHULI,15
,Oropeza,Yotala,CARVAJAL,3
,Oropeza,Yotala,CHAMINA,0
,Oropeza,Yotala,HIGUERAS,3
,Oropeza,Yotala,LA CALERA,5
,Oropeza,Yotala,QUILA QUILA MARKA,17
,Oropeza,Yotala,PITANTORILLA,25
,Oropeza,Yotala,TIPOYO,54
,Oropeza,Yotala,HUAYLLAS,27
,Oropeza,Yotala,TIPAKA,49
,Oropeza,Yotala,ACHUMA,4
,Oropeza,Yotala,ANFAYA DEL PERAL,35
,Oropeza,Yotala,PALAMANA,44
,Oropeza,Yotala,SANTA ROSALIA,22
,Oropeza,Yotala,TAMBO AQHACHILA,52
,Oropeza,Yotala,TUERO CHICO,29
,Oropeza,Yotala,PUENTE SUCRE,11
,Oropeza,Yotala,CANCHA PAMPA,8
,Oropeza,Yotala,PULKI,65
,Oropeza,Poroma,CALIZAYA,49
,Oropeza,Poroma,CHALLCHA,26
,Oropeza,Poroma,CHOCO CHURO,1
,Oropeza,Poroma,COLQUEBAMBA,43
,Oropeza,Poroma,EXALTACION,7
,Oropeza,Poroma,HUAYRA PATA,8
,Oropeza,Poroma,KHULA PUCARA,34
,Oropeza,Poroma,KATARIRI,36
,Oropeza,Poroma,LAMPASUNI,0
,Oropeza,Poroma,OLLISCO,16
,Oropeza,Poroma,PALAJLA,69
,Oropeza,Poroma,PANGORASI,6
,Oropeza,Poroma,POROMA,245
,Oropeza,Poroma,SACABAMBA,36
,Oropeza,Poroma,SAN JOSE DE CHURU,0
,Oropeza,Poroma,SOICOCO,51
,Oropeza,Poroma,YANANI,26
,Oropeza,Poroma,CHILLCANI,21
,Oropeza,Poroma,CERA CERA,30
,Oropeza,Poroma,CHIJMURI,109
,Oropeza,Poroma,HUAYNA HUAYNA,13
,Oropeza,Poroma,MISKHA PAMPA,15
,Oropeza,Poroma,PIOCERA,47
,Oropeza,Poroma,CUCURI,46
,Oropeza,Poroma,HUAPY,8
,Oropeza,Poroma,IROCOTA,34
,Oropeza,Poroma,SAYCHUMA,9
,Oropeza,Poroma,MANZANAL DE PORRAS,2
,Oropeza,Poroma,MARCAVI,3
,Oropeza,Poroma,POJPO,37
,Oropeza,Poroma,PORTILLO,30
,Oropeza,Poroma,RETIRO,18
,Oropeza,Poroma,ROMERAL,32
,Oropeza,Poroma,QUITARJE,14
,Oropeza,Poroma,TAPALA,15
,Oropeza,Poroma,TEJA HUASI,1
,Oropeza,Poroma,SAN JUAN DE ORCAS,65
,Oropeza,Poroma,KULLKU,44
,Oropeza,Poroma,KOLKA,23
,Oropeza,Poroma,CARPA HUASI,13
,Oropeza,Poroma,PUCARA,15
,Oropeza,Poroma,CARPACHACA,1
,Oropeza,Poroma,CALASAMANA,16
,Oropeza,Poroma,JACHUY KURI,24
,Oropeza,Poroma,JATUN KURI,7
,Oropeza,Poroma,CHURUNI,15
,Oropeza,Poroma,SAPSE,57
,Oropeza,Poroma,QUILA QUILILLA,13
,Oropeza,Poroma,LUJE,42
,Oropeza,Poroma,LA PALCA,61
,Oropeza,Poroma,YULULO,24
,Oropeza,Poroma,KORIPUNCO,25
,Oropeza,Poroma,SOTO KHASA,22
,Oropeza,Poroma,ALAMOS,27
,Oropeza,Poroma,CHIVITOS,18
,Oropeza,Poroma,CURCUNCHI,2
,Oropeza,Poroma,KAYNACAS,32
,Oropeza,Poroma,LA BARRANCA,64
,Oropeza,Poroma,MENDOZA,27
,Oropeza,Poroma,MILLUNI,58
,Oropeza,Poroma,SANABRIA,59
,Oropeza,Poroma,SICCHA ALTA,43
,Oropeza,Poroma,SIJCHA BAJA,44
,Oropeza,Poroma,URUQUILLA,15
,Oropeza,Poroma,SOKOSNIYUS,23
,Oropeza,Poroma,ROBLEDOS,44
,Oropeza,Poroma,ZANABRIA,16
,Oropeza,Poroma,SANABRIA ALTA,30
,Oropeza,Poroma,PAMPAS ALTA,13
,Oropeza,Poroma,CHAUPI BARRANCA,13
,Oropeza,Poroma,JATUN BARRANCA,17
,Oropeza,Poroma,JUCHUY BARRANCA,34
,Oropeza,Poroma,AGUILA ORCKO,10
,Oropeza,Poroma,COPA BILLQUE,17
,Oropeza,Poroma,LA KASA,25
,Oropeza,Poroma,MOLLE ORKHO,45
,Oropeza,Poroma,POMANASA ALTA,0
,Oropeza,Poroma,POMANASA,29
,Oropeza,Poroma,KASPI CANCHA,28
,Oropeza,Poroma,KASPICANCHITA,9
,Oropeza,Poroma,URUHUAYO ALTO,2
,Oropeza,Poroma,URUHUAYO CENTRO,0
,Oropeza,Poroma,URUHUAYO BAJO,15
,Oropeza,Poroma,DURASNILLO,17
,Oropeza,Poroma,HUAÑOMA ALTA,22
,Oropeza,Poroma,HUAÑOMA BAJA,46
,Oropeza,Poroma,MARIQUILLA,54
,Oropeza,Poroma,THOLA PAMPA,39
,Oropeza,Poroma,VIRU VIRU,35
,Oropeza,Poroma,KELLU KELLU,13
,Oropeza,Poroma,CHALLCHA,27
,Oropeza,Poroma,TOCO CALA,30
,Azurduy,Azurduy,AZURDUY,271
,Azurduy,Azurduy,CIMIENTOS,70
,Azurduy,Azurduy,CUEVAS CAÑADAS,52
,Azurduy,Azurduy,HUANCARANILLO,28
,Azurduy,Azurduy,LA ANGOSTURA,33
,Azurduy,Azurduy,LA MARCA,38
,Azurduy,Azurduy,LAS ABRAS,55
,Azurduy,Azurduy,PICHACANI,66
,Azurduy,Azurduy,PIEDRA GRANDE,79
,Azurduy,Azurduy,POMABAMBILLO,26
,Azurduy,Azurduy,QEWIÑA MAYU,15
,Azurduy,Azurduy,SAN GERONIMO,5
,Azurduy,Azurduy,SAN ROQUE,9
,Azurduy,Azurduy,LA TRANCA,12
,Azurduy,Azurduy,TARVITA ALTA,26
,Azurduy,Azurduy,VILLA ESPERANZA,1
,Azurduy,Azurduy,COLLPAMAYU,1
