Departamento,Provincia,Municipio,Ciudad / Comunidad,pared_total,pared_ladrillo_cemento,pared_adobe_tapial,pared_tabique_quinche,pared_piedra,pared_madera,pared_canha_palma,pared_otro,techo_total,techo_calamina,techo_teja,techo_losa,techo_paja,techo_otro,piso_total,piso_tierra,piso_madera,piso_machimbre,piso_parquet,piso_ceramica,piso_cemento,piso_mosaico,piso_ladrillo,piso_otro
Chuquisaca,Oropeza,Sucre,HUAYLLA PAMPA,24,2,22,0,0,0,0,0,24,3,13,0,8,0,24,15,0,0,0,0,7,0,2,0
Chuquisaca,Oropeza,Sucre,QUESERA,76,3,73,0,0,0,0,0,76,16,35,2,23,0,76,63,0,0,0,0,13,0,0,0
Chuquisaca,Oropeza,Sucre,SUNCHU PAMPA,16,0,16,0,0,0,0,0,16,0,4,0,12,0,16,16,0,0,0,0,0,0,0,0
Chuquisaca,Oropeza,Sucre,CKOLPA KUCHO,22,0,21,0,1,0,0,0,22,13,0,0,9,0,22,20,0,0,0,1,1,0,0,0
Chuquisaca,Oropeza,Sucre,TEJA MAYU,17,0,12,0,5,0,0,0,17,1,1,0,15,0,17,17,0,0,0,0,0,0,0,0
Chuquisaca,Oropeza,Sucre,TURQUICHI,44,1,35,0,8,0,0,0,44,6,0,0,38,0,44,40,1,0,0,0,3,0,0,0
Chuquisaca,Oropeza,Sucre,MARACORI,24,0,23,0,1,0,0,0,24,1,0,0,23,0,24,24,0,0,0,0,0,0,0,0
Chuquisaca,Oropeza,Sucre,EL CHACO,202,90,68,18,0,1,2,23,202,68,99,10,7,18,202,47,11,0,0,18,108,18,0,0
Chuquisaca,Oropeza,Sucre,PAREDON,79,11,68,0,0,0,0,0,79,15,64,0,0,0,79,21,0,0,0,4,54,0,0,0
Chuquisaca,Oropeza,Sucre,TEJA HUASI,102,32,70,0,0,0,0,0,102,13,87,1,1,0,102,15,1,0,0,0,84,1,1,0
Chuquisaca,Oropeza,Sucre,GUERRA LOMA,28,13,15,0,0,0,0,0,28,14,7,0,3,4,28,6,0,0,0,0,18,2,0,2
Chuquisaca,Oropeza,Sucre,KHATALLA BAJA,46,6,38,0,1,1,0,0,46,3,37,1,5,0,46,39,0,0,0,0,7,0,0,0
Chuquisaca,Oropeza,Sucre,SURIMA,193,104,85,0,1,0,2,1,193,31,154,4,3,1,193,19,0,0,0,13,157,0,1,3
Chuquisaca,Oropeza,Sucre,CHAUNACA,100,5,93,0,2,0,0,0,100,26,48,0,26,0,100,48,0,2,0,4,43,0,3,0
Chuquisaca,Oropeza,Sucre,CHUFLE,37,0,35,0,2,0,0,0,37,10,16,0,11,0,37,30,1,0,0,0,5,1,0,0
Chuquisaca,Oropeza,Sucre,TUMPEKA,89,0,74,0,13,1,0,1,89,17,28,0,42,2,89,79,0,0,0,0,9,0,1,0
Chuquisaca,Oropeza,Sucre,PURUMQUILA,88,1,81,0,6,0,0,0,88,6,64,0,18,0,88,82,0,0,0,0,5,0,0,1
Chuquisaca,Oropeza,Sucre,SICI PUCO,24,0,8,0,16,0,0,0,24,2,12,0,10,0,24,23,0,0,0,0,1,0,0,0
Chuquisaca,Oropeza,Sucre,TAJCHI,47,0,42,0,5,0,0,0,47,3,36,0,7,1,47,43,0,0,0,0,4,0,0,0
Chuquisaca,Oropeza,Sucre,KUCHU TAMBO,333,99,178,1,3,3,2,47,333,212,74,3,6,38,333,212,8,0,0,10,94,0,7,2
Chuquisaca,Oropeza,Sucre,QUILA QUILA,116,3,94,0,19,0,0,0,116,24,65,1,24,2,116,92,0,0,0,0,20,0,3,1
Chuquisaca,Oropeza,Sucre,COYULI,52,1,28,0,23,0,0,0,52,34,1,0,16,1,52,52,0,0,0,0,0,0,0,0
Chuquisaca,Oropeza,Sucre,THULLMA,33,8,17,0,5,0,3,0,33,13,9,1,8,2,33,19,0,0,0,0,13,0,1,0
Chuquisaca,Oropeza,Sucre,MOLLE MOLLE,54,0,52,0,2,0,0,0,54,8,4,0,42,0,54,49,0,0,0,0,5,0,0,0
Chuquisaca,Oropeza,Sucre,CHALLCOMA,37,5,30,0,2,0,0,0,37,14,16,1,5,1,37,18,0,0,0,1,18,0,0,0
Chuquisaca,Oropeza,Sucre,PUNILLA GRANDE,19,0,19,0,0,0,0,0,19,12,7,0,0,0,19,9,0,0,0,0,5,0,5,0
Chuquisaca,Oropeza,Sucre,QUIRAYTAMBO,32,1,31,0,0,0,0,0,32,7,23,0,2,0,32,22,0,0,0,0,9,0,1,0
Chuquisaca,Oropeza,Sucre,SANTA CATALINA,14,0,14,0,0,0,0,0,14,6,7,0,1,0,14,13,0,0,0,0,1,0,0,0
Chuquisaca,Oropeza,Sucre,RUFFO,35,0,9,0,24,2,0,0,35,7,0,0,28,0,35,31,0,0,0,0,0,0,0,4
Chuquisaca,Oropeza,Sucre,QUILLA QUILLA MARKA,26,0,13,1,12,0,0,0,26,5,3,0,18,0,26,26,0,0,0,0,0,0,0,0
